City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,22.77,76,0,7.2,US,1691541930
1,beitbridge,-22.2167,30.0,14.15,49,0,2.66,ZW,1691542270
2,gaspe,48.8334,-64.4819,17.12,100,100,4.63,CA,1691542270
3,puerto natales,-51.7236,-72.4875,1.54,98,99,1.68,CL,1691542168
4,altamira,-3.2033,-52.2064,26.3,68,27,1.36,BR,1691542270
5,bredasdorp,-34.5322,20.0403,9.06,90,0,2.38,ZA,1691542171
6,chos malal,-37.3781,-70.2709,12.67,40,100,1.96,AR,1691542270
7,namibe,-15.1961,12.1522,17.27,88,4,2.72,AO,1691542194
8,waitangi,-43.9535,-176.5597,8.79,88,100,0.89,NZ,1691542169
9,bathsheba,13.2167,-59.5167,28.34,89,75,5.14,BB,1691542270
10,iqaluit,63.7506,-68.5145,4.85,86,40,3.6,CA,1691541967
11,port-aux-francais,-49.35,70.2167,1.57,71,60,7.92,TF,1691542167
12,choibalsan,48.0667,114.5,19.95,57,98,1.0,MN,1691542270
13,hermanus,-34.4187,19.2345,11.56,85,0,5.91,ZA,1691542175
14,adamstown,-25.066,-130.1015,22.33,86,100,15.14,PN,1691542177
15,saldanha,-33.0117,17.9442,9.03,83,0,4.81,ZA,1691542227
16,nizhnevartovsk,60.9344,76.5531,15.01,77,0,2.0,RU,1691542270
17,stanley,54.868,-1.6985,11.05,82,0,3.09,GB,1691542170
18,tsiombe,-25.3,45.4833,19.08,91,0,3.54,MG,1691542220
19,wailua homesteads,22.0669,-159.378,35.24,75,100,8.75,US,1691542192
20,san antonio de pale,-1.4014,5.6325,23.37,79,11,5.79,GQ,1691542185
21,grytviken,-54.2811,-36.5092,-2.83,82,23,4.34,GS,1691541940
22,ribeira grande,38.5167,-28.7,24.32,94,100,8.49,PT,1691542190
23,cabo san lucas,22.8909,-109.9124,34.78,71,0,6.45,MX,1691542092
24,west island,-12.1568,96.8225,24.99,83,40,5.66,CC,1691542176
25,dubrovnik,42.6481,18.0922,20.8,45,0,8.75,HR,1691542083
26,port alfred,-33.5906,26.891,14.54,97,100,4.6,ZA,1691542240
27,luchegorsk,46.4764,134.2569,20.02,91,98,1.49,RU,1691542271
28,puerto baquerizo moreno,-0.9,-89.6,23.47,78,100,4.96,EC,1691542271
29,anadyr,64.75,177.4833,10.28,93,75,7.0,RU,1691542169
30,selfoss,63.9331,-20.9971,10.58,80,12,2.51,IS,1691542271
31,albany,42.6001,-73.9662,20.65,82,100,0.45,US,1691541985
32,caleta de carquin,-11.0925,-77.6267,19.25,81,36,5.01,PE,1691542271
33,hamilton,39.1834,-84.5333,25.69,68,20,4.63,US,1691541979
34,mount gambier,-37.8333,140.7667,13.13,53,2,6.4,AU,1691542219
35,badger,64.8,-147.5333,18.62,85,100,2.06,US,1691542168
36,sirte,31.2089,16.5887,25.48,67,0,4.65,LY,1691542271
37,port elizabeth,-33.918,25.5701,14.16,94,40,1.54,ZA,1691542181
38,edinburgh of the seven seas,-37.0676,-12.3116,11.58,85,100,11.42,SH,1691542173
39,keflavik,64.0049,-22.5624,11.24,93,0,4.63,IS,1691542226
40,dunedin,-45.8742,170.5036,7.67,74,100,7.15,NZ,1691542067
41,ushuaia,-54.8,-68.3,1.81,80,0,1.03,AR,1691542172
42,ust-nera,64.5667,143.2,17.71,51,87,1.27,RU,1691542167
43,alice springs,-23.7,133.8833,20.75,30,0,3.6,AU,1691542236
44,puerto ayora,-0.7393,-90.3518,24.19,89,79,1.79,EC,1691542168
45,las tablas,7.7667,-80.2833,26.21,99,100,1.19,PA,1691542272
46,ilulissat,69.2167,-51.1,9.01,71,75,0.0,GL,1691542217
47,olavarria,-36.8927,-60.3225,4.48,81,16,3.54,AR,1691542272
48,lihue,21.9789,-159.3672,35.58,68,100,8.75,US,1691541938
49,boyolangu,-8.1181,111.8935,24.15,74,23,3.38,ID,1691542272
50,puerto deseado,-47.7503,-65.8938,9.86,51,100,8.34,AR,1691542272
51,brookings,44.3114,-96.7984,24.0,57,0,2.06,US,1691542189
52,saipan,15.1355,145.701,31.39,100,20,4.12,MP,1691542187
53,saint-pierre,-21.3393,55.4781,19.82,64,0,3.6,RE,1691542213
54,sidney,-33.8679,151.2073,18.53,66,0,4.12,AU,1691542035
55,port saint john's,-31.6229,29.5448,18.5,69,100,4.45,ZA,1691541970
56,longyearbyen,78.2186,15.6401,7.91,81,0,0.51,SJ,1691542176
57,haiku-pauwela,20.9219,-156.3051,30.28,56,20,11.32,US,1691542218
58,bethel,41.3712,-73.414,23.05,74,0,3.6,US,1691542167
59,erenhot,43.6475,111.9767,22.25,48,0,4.54,CN,1691542273
